countries;2015;2016;2017;2018;2019;2020;2021;2022;2023;;
Belgium;3.921,10;3.966,90;4.024,50;4.081,70;4.144,10;4.121,80;4.177,90;4.256,40;4.284,90;;
Bulgaria;2.530,85;2.576,08;2.584,39;2.605,95;2.646,20;2.573,29;2.598,15;2.609,12;2.647,26;;
Czechia;4.396,97;4.433,75;4.497,31;4.543,99;4.531,54;4.456,24;4.479,65;4.507,09;4.562,41;;
Denmark;2.607,62;2.658,14;2.700,62;2.742,82;2.786,96;2.755,55;2.822,39;2.941,14;2.987,57;;
Germany;38.631,00;39.208,00;39.855,00;40.484,00;40.964,00;40.766,00;40.919,00;41.570,00;41.953,00;;
Estonia;583,50;586,30;593,90;595,75;600,30;587,62;586,10;612,53;625,38;;
Ireland;1.719,78;1.789,41;1.862,62;1.926,31;2.001,61;1.942,81;2.086,25;2.232,14;2.315,41;;
Greece;2.946,02;3.122,96;3.115,47;3.339,48;3.441,71;3.309,82;3.499,99;3.608,49;3.666,56;;
Spain;15.815,80;16.180,50;16.698,60;17.115,50;17.606,30;16.763,10;17.223,00;17.817,10;18.366,80;;
France;25.116,20;25.325,80;25.642,10;25.890,80;26.141,00;26.063,30;26.718,00;27.311,60;27.588,10;;
Croatia;1.336,85;1.368,82;1.423,97;1.455,20;1.397,34;1.376,92;1.380,66;1.389,55;1.400,81;;
Italy;17.598,10;17.982,70;18.319,10;18.523,20;18.684,70;18.395,30;18.661,40;19.116,20;19.501,20;;
Cyprus;326,25;341,29;360,74;382,31;401,09;398,27;411,09;427,64;434,35;;
Latvia;785,35;781,06;787,57;815,06;836,03;816,93;796,01;787,05;808,39;;
Lithuania;1.173,42;1.197,04;1.195,63;1.218,27;1.221,67;1.205,42;1.211,70;1.258,79;1.289,40;;
Luxembourg;223,37;228,59;235,95;242,88;249,55;253,34;258,81;265,22;270,00;;
Hungary;4.025,59;4.158,33;4.244,14;4.285,69;4.316,00;4.240,37;4.213,41;4.259,12;4.309,80;;
Malta;179,79;190,40;199,61;212,25;223,96;230,06;235,42;247,07;263,89;;
Netherlands;7.172,00;7.281,00;7.458,00;7.657,00;7.807,00;7.761,00;7.870,00;8.130,00;8.239,00;;
Austria;3.645,55;3.702,12;3.767,57;3.844,90;3.889,50;3.822,95;3.888,22;3.990,95;4.031,41;;
Poland;12.669,00;12.841,00;13.070,00;13.142,00;13.573,00;13.507,00;13.823,00;13.911,00;13.871,00;;
Portugal;3.896,13;3.975,69;4.116,63;4.202,52;4.231,52;4.151,18;4.195,53;4.355,27;4.479,04;;
Romania;6.279,01;6.404,48;6.598,83;6.706,71;6.809,36;6.708,80;6.740,92;6.807,70;6.733,98;;
Slovenia;763,80;782,06;805,27;834,34;854,89;850,26;859,94;880,96;893,13;;
Slovakia;2.056,59;2.107,68;2.145,14;2.187,64;2.194,93;2.153,09;2.118,34;2.147,60;2.146,74;;
Finland;2.210,90;2.226,30;2.254,80;2.312,90;2.345,10;2.294,60;2.348,60;2.446,70;2.499,10;;
Sweden;4.306,30;4.382,60;4.488,30;4.561,70;4.585,30;4.509,80;4.542,70;4.683,40;4.747,00;;
Iceland;170,20;178,50;186,90;192,80;192,30;182,90;185,70;199,10;208,10;;
Liechtenstein;18,06;18,10;18,27;18,46;18,82;18,86;19,25;19,88;20,00;;
Norway;2.481,00;2.493,00;2.524,00;2.566,00;2.603,00;2.571,00;2.619,00;2.711,00;2.748,00;;
Switzerland;4.070,27;4.135,65;4.167,81;4.206,42;4.256,25;4.256,98;4.261,12;4.296,34;4.379,32;;
United Kingdom;26.607,00;26.854,00;27.146,00;27.547,00;27.701,00;:;:;:;:;;
Serbia;1.929,62;1.959,67;2.013,02;2.081,59;2.119,38;2.156,83;2.229,61;2.260,86;2.305,96;;
